participant_ID,event_day,event_type,event_name,event_time
123,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
123,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
123,1,Hack,"Resources for changing culture in department, university, society",all day
123,1,Flexible,NA,NA
73,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
73,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
73,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
73,1,Hack,Syllabus for Research Methods,all day
133,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
133,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
133,1,Workshop,Using OSF,1:30-3:30p
133,1,Flexible,NA,NA
30,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
30,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
30,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
30,1,Hack,Syllabus for Research Methods,all day
30,1,Hack,Making open science more diverse and inclusive,all day
10,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
10,1,Workshop,Using OSF,1:30-3:30p
10,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
10,1,Hack,Syllabus for Research Methods,all day
10,1,Hack,Making open science more diverse and inclusive,all day
24,1,Workshop,Using OSF,1:30-3:30p
24,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
13,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
13,1,Hack,Making open science more diverse and inclusive,all day
159,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
159,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
159,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
159,1,Hack,Syllabus for Research Methods,all day
159,1,Flexible,NA,NA
117,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
117,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
117,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
117,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
117,1,Hack,Syllabus for Research Methods,all day
131,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
131,1,Workshop,Using OSF,1:30-3:30p
131,1,Hack,Syllabus for Research Methods,all day
131,1,Hack,"Resources for changing culture in department, university, society",all day
59,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
59,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
59,1,Hack,"Resources for changing culture in department, university, society",all day
77,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
77,1,Hack,Syllabus for Research Methods,all day
53,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
53,1,Workshop,Using OSF,1:30-3:30p
53,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
147,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
147,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
147,1,Workshop,Using OSF,1:30-3:30p
147,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
147,1,Hack,Syllabus for Research Methods,all day
147,1,Hack,Making open science more diverse and inclusive,all day
63,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
63,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
63,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
63,1,Hack,Syllabus for Research Methods,all day
63,1,Hack,"Resources for changing culture in department, university, society",all day
63,1,Flexible,NA,NA
75,1,Hack,Action campaign for all psych journals to adopt transparency policies,all day
72,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
72,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
72,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
72,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
72,1,Hack,Action campaign for all psych journals to adopt transparency policies,all day
72,1,Flexible,NA,NA
56,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
56,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
56,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
56,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
56,1,Hack,Forming a new journal,all day
56,1,Hack,"Resources for changing culture in department, university, society",all day
56,1,Flexible,NA,NA
80,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
80,1,Hack,Forming a new journal,all day
107,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
107,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
107,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
107,1,Flexible,NA,NA
97,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
97,1,Hack,"Resources for changing culture in department, university, society",all day
37,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
37,1,Workshop,Using OSF,1:30-3:30p
37,1,Flexible,NA,NA
146,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
146,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
146,1,Hack,"Resources for changing culture in department, university, society",all day
2,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
2,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
2,1,Workshop,Using OSF,1:30-3:30p
2,1,Hack,Syllabus for Research Methods,all day
2,1,Hack,Making open science more diverse and inclusive,all day
2,1,Flexible,NA,NA
45,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
45,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
45,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
45,1,Hack,Syllabus for Research Methods,all day
45,1,Hack,"Resources for changing culture in department, university, society",all day
100,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
100,1,Hack,Syllabus for Research Methods,all day
112,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
112,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
112,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
112,1,Hack,Making open science more diverse and inclusive,all day
112,1,Flexible,NA,NA
109,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
109,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
109,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
109,1,Hack,Syllabus for Research Methods,all day
109,1,Hack,Making open science more diverse and inclusive,all day
78,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
78,1,Workshop,Using OSF,1:30-3:30p
78,1,Hack,Syllabus for Research Methods,all day
78,1,Hack,"Resources for changing culture in department, university, society",all day
136,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
136,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
136,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
136,1,Hack,Syllabus for Research Methods,all day
136,1,Hack,Action campaign for all psych journals to adopt transparency policies,all day
25,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
25,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
25,1,Hack,Syllabus for Research Methods,all day
25,1,Hack,Making open science more diverse and inclusive,all day
25,1,Flexible,NA,NA
98,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
98,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
98,1,Hack,Forming a new journal,all day
98,1,Flexible,NA,NA
71,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
71,1,Hack,"Resources for changing culture in department, university, society",all day
51,1,Workshop,Using OSF,1:30-3:30p
95,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
95,1,Hack,Making open science more diverse and inclusive,all day
95,1,Hack,Forming a new journal,all day
95,1,Hack,"Resources for changing culture in department, university, society",all day
16,1,Hack,Syllabus for Research Methods,all day
137,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
137,1,Hack,Syllabus for Research Methods,all day
127,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
127,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
127,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
127,1,Hack,"Resources for changing culture in department, university, society",all day
114,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
114,1,Hack,Action campaign for all psych journals to adopt transparency policies,all day
114,1,Flexible,NA,NA
155,1,Workshop,Using OSF,1:30-3:30p
155,1,Hack,Syllabus for Research Methods,all day
130,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
130,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
130,1,Workshop,Using OSF,1:30-3:30p
130,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
130,1,Hack,"Resources for changing culture in department, university, society",all day
68,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
68,1,Workshop,Using OSF,1:30-3:30p
68,1,Hack,Syllabus for Research Methods,all day
68,1,Hack,Making open science more diverse and inclusive,all day
68,1,Hack,"Resources for changing culture in department, university, society",all day
66,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
66,1,Hack,Action campaign for all psych journals to adopt transparency policies,all day
1,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
1,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
1,1,Workshop,Using OSF,1:30-3:30p
1,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
1,1,Hack,Syllabus for Research Methods,all day
1,1,Hack,Making open science more diverse and inclusive,all day
11,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
11,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
3,1,NA,NA,NA
150,1,Workshop,Using OSF,1:30-3:30p
150,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
150,1,Hack,Making open science more diverse and inclusive,all day
124,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
124,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
124,1,Workshop,Using OSF,1:30-3:30p
124,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
124,1,Hack,Syllabus for Research Methods,all day
124,1,Hack,Making open science more diverse and inclusive,all day
124,1,Hack,"Resources for changing culture in department, university, society",all day
61,1,NA,NA,NA
151,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
151,1,Workshop,Using OSF,1:30-3:30p
151,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
151,1,Hack,Syllabus for Research Methods,all day
151,1,Hack,"Resources for changing culture in department, university, society",all day
88,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
88,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
88,1,Hack,Syllabus for Research Methods,all day
88,1,Hack,Forming a new journal,all day
88,1,Flexible,NA,NA
103,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
103,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
103,1,Hack,Syllabus for Research Methods,all day
103,1,Hack,"Resources for changing culture in department, university, society",all day
82,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
82,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
82,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
82,1,Workshop,Using OSF,1:30-3:30p
82,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
82,1,Hack,Making open science more diverse and inclusive,all day
82,1,Hack,"Resources for changing culture in department, university, society",all day
119,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
119,1,Hack,Syllabus for Research Methods,all day
119,1,Hack,"Resources for changing culture in department, university, society",all day
6,1,NA,NA,NA
148,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
148,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
148,1,Hack,"Resources for changing culture in department, university, society",all day
120,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
120,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
106,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
106,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
106,1,Hack,Syllabus for Research Methods,all day
15,1,Workshop,Using OSF,1:30-3:30p
15,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
15,1,Hack,Syllabus for Research Methods,all day
15,1,Hack,Making open science more diverse and inclusive,all day
41,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
140,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
140,1,Hack,Syllabus for Research Methods,all day
140,1,Hack,"Resources for changing culture in department, university, society",all day
140,1,Flexible,NA,NA
161,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
161,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
161,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
161,1,Hack,"Resources for changing culture in department, university, society",all day
44,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
44,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
44,1,Hack,Making open science more diverse and inclusive,all day
44,1,Hack,"Resources for changing culture in department, university, society",all day
128,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
128,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
128,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
128,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
33,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
33,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
33,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
33,1,Hack,Syllabus for Research Methods,all day
33,1,Hack,Making open science more diverse and inclusive,all day
33,1,Hack,"Resources for changing culture in department, university, society",all day
33,1,Flexible,NA,NA
83,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
83,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
83,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
83,1,Workshop,Using OSF,1:30-3:30p
62,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
62,1,Workshop,"Data Sharing -- Part 1: IRB, Part 2: Curating data",3:30-6p
62,1,Hack,Making open science more diverse and inclusive,all day
62,1,Hack,"Resources for changing culture in department, university, society",all day
62,1,Hack,Action campaign for all psych journals to adopt transparency policies,all day
102,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
102,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
102,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
102,1,Hack,Syllabus for Research Methods,all day
102,1,Hack,Making open science more diverse and inclusive,all day
102,1,Hack,"Resources for changing culture in department, university, society",all day
102,1,Flexible,NA,NA
55,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
55,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
55,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
55,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
132,0,Social,Dinner/drinks party at Brian Nosek's home,7p-?
132,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
132,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
132,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
132,1,Flexible,NA,NA
91,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
91,1,Workshop,Using OSF,1:30-3:30p
91,1,Workshop,"Writing papers to be transparent, reproducible, and fabulous",3:30-5:30p
135,1,Workshop,Fundamentals of meta-analysis,9:30a-12:30p
135,1,Workshop,How to Promote Transparency and Replicability as a Reviewer,1:30-3:30p
135,1,Hack,Making open science more diverse and inclusive,all day
135,1,Hack,Forming a new journal,all day
90,2,NA,NA,NA
110,2,Workshop,R Markdown,1:30-3:30p
110,2,Re-hack,Diversity and inclusion,morning
110,2,Social,All Conference Dinner & Drinks,7:30p-??
165,2,Workshop,R Markdown,1:30-3:30p
165,2,Workshop,Power analysis and effect size,3:30p-5:30p
165,2,Social,All Conference Dinner & Drinks,7:30p-??
153,2,Social,All Conference Dinner & Drinks,7:30p-??
48,2,Workshop,R Markdown,1:30-3:30p
35,2,Workshop,R Markdown,1:30-3:30p
28,2,Workshop,Getting started with preregistration,9:30a-12:30p
28,2,Workshop,Power analysis and effect size,3:30p-5:30p
28,2,Social,All Conference Dinner & Drinks,7:30p-??
160,2,Workshop,Getting started with preregistration,9:30a-12:30p
160,2,Workshop,Power analysis and effect size,3:30p-5:30p
122,2,Workshop,Getting started with preregistration,9:30a-12:30p
122,2,Workshop,R Markdown,1:30-3:30p
122,2,Workshop,Power analysis and effect size,3:30p-5:30p
122,2,Social,All Conference Dinner & Drinks,7:30p-??
152,2,Workshop,R Markdown,1:30-3:30p
152,2,Workshop,Power analysis and effect size,3:30p-5:30p
152,2,Re-hack,Diversity and inclusion,morning
152,2,Social,All Conference Dinner & Drinks,7:30p-??
54,2,Workshop,Getting started with preregistration,9:30a-12:30p
54,2,Workshop,R Markdown,1:30-3:30p
54,2,Workshop,Power analysis and effect size,3:30p-5:30p
54,2,Re-hack,Diversity and inclusion,morning
54,2,Social,All Conference Dinner & Drinks,7:30p-??
163,2,Social,All Conference Dinner & Drinks,7:30p-??
43,2,Workshop,R Markdown,1:30-3:30p
43,2,Workshop,Power analysis and effect size,3:30p-5:30p
43,2,Social,All Conference Dinner & Drinks,7:30p-??
116,2,Workshop,R Markdown,1:30-3:30p
116,2,Workshop,Power analysis and effect size,3:30p-5:30p
116,2,Re-hack,Diversity and inclusion,morning
116,2,Social,All Conference Dinner & Drinks,7:30p-??
7,2,Social,All Conference Dinner & Drinks,7:30p-??
27,2,Workshop,Getting started with preregistration,9:30a-12:30p
27,2,Workshop,R Markdown,1:30-3:30p
27,2,Workshop,Power analysis and effect size,3:30p-5:30p
27,2,Social,All Conference Dinner & Drinks,7:30p-??
34,2,Social,All Conference Dinner & Drinks,7:30p-??
26,2,Workshop,R Markdown,1:30-3:30p
26,2,Social,All Conference Dinner & Drinks,7:30p-??
60,2,Social,All Conference Dinner & Drinks,7:30p-??
17,2,Workshop,R Markdown,1:30-3:30p
101,2,Workshop,R Markdown,1:30-3:30p
101,2,Workshop,Power analysis and effect size,3:30p-5:30p
101,2,Social,All Conference Dinner & Drinks,7:30p-??
125,2,Re-hack,Diversity and inclusion,morning
125,2,Social,All Conference Dinner & Drinks,7:30p-??
52,2,Workshop,Power analysis and effect size,3:30p-5:30p
89,2,Workshop,Power analysis and effect size,3:30p-5:30p
89,2,Social,All Conference Dinner & Drinks,7:30p-??
50,2,Workshop,Getting started with preregistration,9:30a-12:30p
50,2,Workshop,R Markdown,1:30-3:30p
50,2,Workshop,Power analysis and effect size,3:30p-5:30p
50,2,Social,All Conference Dinner & Drinks,7:30p-??
31,2,Workshop,Power analysis and effect size,3:30p-5:30p
31,2,Re-hack,Diversity and inclusion,morning
31,2,Social,All Conference Dinner & Drinks,7:30p-??
32,2,Workshop,Getting started with preregistration,9:30a-12:30p
32,2,Workshop,R Markdown,1:30-3:30p
32,2,Workshop,Power analysis and effect size,3:30p-5:30p
32,2,Social,All Conference Dinner & Drinks,7:30p-??
93,2,Workshop,Power analysis and effect size,3:30p-5:30p
121,2,Workshop,Power analysis and effect size,3:30p-5:30p
121,2,Social,All Conference Dinner & Drinks,7:30p-??
141,2,Re-hack,Diversity and inclusion,morning
141,2,Social,All Conference Dinner & Drinks,7:30p-??
156,2,Workshop,R Markdown,1:30-3:30p
156,2,Re-hack,Diversity and inclusion,morning
156,2,Social,All Conference Dinner & Drinks,7:30p-??
14,2,Workshop,R Markdown,1:30-3:30p
14,2,Workshop,Power analysis and effect size,3:30p-5:30p
14,2,Social,All Conference Dinner & Drinks,7:30p-??
36,2,Re-hack,Diversity and inclusion,morning
36,2,Social,All Conference Dinner & Drinks,7:30p-??
143,2,Workshop,Getting started with preregistration,9:30a-12:30p
143,2,Workshop,Power analysis and effect size,3:30p-5:30p
143,2,Social,All Conference Dinner & Drinks,7:30p-??
20,2,Workshop,Getting started with preregistration,9:30a-12:30p
20,2,Social,All Conference Dinner & Drinks,7:30p-??
23,2,Re-hack,Diversity and inclusion,morning
23,2,Social,All Conference Dinner & Drinks,7:30p-??
111,2,Workshop,R Markdown,1:30-3:30p
111,2,Re-hack,Diversity and inclusion,morning
111,2,Social,All Conference Dinner & Drinks,7:30p-??
164,2,Workshop,R Markdown,1:30-3:30p
164,2,Workshop,Power analysis and effect size,3:30p-5:30p
164,2,Social,All Conference Dinner & Drinks,7:30p-??
19,2,Workshop,Power analysis and effect size,3:30p-5:30p
154,2,Workshop,R Markdown,1:30-3:30p
154,2,Workshop,Power analysis and effect size,3:30p-5:30p
154,2,Social,All Conference Dinner & Drinks,7:30p-??
86,2,Workshop,Power analysis and effect size,3:30p-5:30p
86,2,Re-hack,Diversity and inclusion,morning
86,2,Social,All Conference Dinner & Drinks,7:30p-??
70,2,Workshop,Power analysis and effect size,3:30p-5:30p
70,2,Social,All Conference Dinner & Drinks,7:30p-??
158,2,Workshop,Power analysis and effect size,3:30p-5:30p
158,2,Re-hack,Diversity and inclusion,morning
158,2,Social,All Conference Dinner & Drinks,7:30p-??
58,2,Workshop,R Markdown,1:30-3:30p
58,2,Workshop,Power analysis and effect size,3:30p-5:30p
58,2,Re-hack,Diversity and inclusion,morning
58,2,Social,All Conference Dinner & Drinks,7:30p-??
65,2,Workshop,Power analysis and effect size,3:30p-5:30p
65,2,Re-hack,Diversity and inclusion,morning
65,2,Social,All Conference Dinner & Drinks,7:30p-??
118,2,Workshop,R Markdown,1:30-3:30p
118,2,Workshop,Power analysis and effect size,3:30p-5:30p
42,2,Social,All Conference Dinner & Drinks,7:30p-??
69,2,Social,All Conference Dinner & Drinks,7:30p-??
39,2,Workshop,Power analysis and effect size,3:30p-5:30p
39,2,Social,All Conference Dinner & Drinks,7:30p-??
21,2,Workshop,Getting started with preregistration,9:30a-12:30p
21,2,Workshop,R Markdown,1:30-3:30p
21,2,Workshop,Power analysis and effect size,3:30p-5:30p
21,2,Social,All Conference Dinner & Drinks,7:30p-??
145,2,NA,NA,NA
166,2,Workshop,R Markdown,1:30-3:30p
166,2,Workshop,Power analysis and effect size,3:30p-5:30p
166,2,Social,All Conference Dinner & Drinks,7:30p-??
47,2,Workshop,R Markdown,1:30-3:30p
