participant_ID,event_day,event_type,event_name,event_time
1,2,Workshop,R Markdown,1:30-3:30p
1,2,Workshop,Power analysis and effect size,3:30p-5:30p
1,2,Social,All Conference Dinner & Drinks,7:30p-??
11,2,Social,All Conference Dinner & Drinks,7:30p-??
3,2,Workshop,Getting started with preregistration,9:30a-12:30p
3,2,Social,All Conference Dinner & Drinks,7:30p-??
150,2,Workshop,R Markdown,1:30-3:30p
150,2,Workshop,Power analysis and effect size,3:30p-5:30p
124,2,Workshop,Getting started with preregistration,9:30a-12:30p
124,2,Workshop,Power analysis and effect size,3:30p-5:30p
124,2,Re-hack,Diversity and inclusion,morning
124,2,Social,All Conference Dinner & Drinks,7:30p-??
61,2,Workshop,Power analysis and effect size,3:30p-5:30p
61,2,Social,All Conference Dinner & Drinks,7:30p-??
151,2,Workshop,Getting started with preregistration,9:30a-12:30p
151,2,Workshop,R Markdown,1:30-3:30p
151,2,Workshop,Power analysis and effect size,3:30p-5:30p
151,2,Social,All Conference Dinner & Drinks,7:30p-??
88,2,Workshop,R Markdown,1:30-3:30p
88,2,Workshop,Power analysis and effect size,3:30p-5:30p
88,2,Social,All Conference Dinner & Drinks,7:30p-??
103,2,Workshop,R Markdown,1:30-3:30p
103,2,Workshop,Power analysis and effect size,3:30p-5:30p
103,2,Social,All Conference Dinner & Drinks,7:30p-??
82,2,Workshop,R Markdown,1:30-3:30p
82,2,Re-hack,Diversity and inclusion,morning
82,2,Social,All Conference Dinner & Drinks,7:30p-??
119,2,Social,All Conference Dinner & Drinks,7:30p-??
6,2,Workshop,R Markdown,1:30-3:30p
6,2,Workshop,Power analysis and effect size,3:30p-5:30p
6,2,Social,All Conference Dinner & Drinks,7:30p-??
148,2,Workshop,Getting started with preregistration,9:30a-12:30p
148,2,Workshop,Power analysis and effect size,3:30p-5:30p
148,2,Social,All Conference Dinner & Drinks,7:30p-??
120,2,Workshop,Power analysis and effect size,3:30p-5:30p
120,2,Social,All Conference Dinner & Drinks,7:30p-??
106,2,Workshop,Power analysis and effect size,3:30p-5:30p
106,2,Re-hack,Diversity and inclusion,morning
106,2,Social,All Conference Dinner & Drinks,7:30p-??
15,2,Workshop,Getting started with preregistration,9:30a-12:30p
15,2,Workshop,Power analysis and effect size,3:30p-5:30p
15,2,Re-hack,Diversity and inclusion,morning
41,2,Workshop,Power analysis and effect size,3:30p-5:30p
41,2,Social,All Conference Dinner & Drinks,7:30p-??
140,2,Workshop,R Markdown,1:30-3:30p
140,2,Social,All Conference Dinner & Drinks,7:30p-??
161,2,Workshop,Getting started with preregistration,9:30a-12:30p
161,2,Social,All Conference Dinner & Drinks,7:30p-??
44,2,Workshop,R Markdown,1:30-3:30p
128,2,Re-hack,Diversity and inclusion,morning
128,2,Social,All Conference Dinner & Drinks,7:30p-??
33,2,Workshop,Power analysis and effect size,3:30p-5:30p
33,2,Re-hack,Diversity and inclusion,morning
33,2,Social,All Conference Dinner & Drinks,7:30p-??
83,2,Workshop,Getting started with preregistration,9:30a-12:30p
83,2,Workshop,R Markdown,1:30-3:30p
83,2,Workshop,Power analysis and effect size,3:30p-5:30p
83,2,Social,All Conference Dinner & Drinks,7:30p-??
62,2,Workshop,Power analysis and effect size,3:30p-5:30p
62,2,Re-hack,Diversity and inclusion,morning
62,2,Social,All Conference Dinner & Drinks,7:30p-??
102,2,Workshop,Getting started with preregistration,9:30a-12:30p
102,2,Workshop,R Markdown,1:30-3:30p
102,2,Workshop,Power analysis and effect size,3:30p-5:30p
102,2,Re-hack,Diversity and inclusion,morning
102,2,Social,All Conference Dinner & Drinks,7:30p-??
55,2,Workshop,Getting started with preregistration,9:30a-12:30p
55,2,Workshop,Power analysis and effect size,3:30p-5:30p
55,2,Social,All Conference Dinner & Drinks,7:30p-??
132,2,Workshop,Getting started with preregistration,9:30a-12:30p
132,2,Workshop,R Markdown,1:30-3:30p
91,2,Workshop,Getting started with preregistration,9:30a-12:30p
91,2,Workshop,Power analysis and effect size,3:30p-5:30p
135,2,Workshop,R Markdown,1:30-3:30p
135,2,Workshop,Power analysis and effect size,3:30p-5:30p
135,2,Re-hack,Diversity and inclusion,morning
90,3,Flexible,NA,NA
110,3,NA,NA,NA
165,3,Workshop,Fundamentals of R,9:30a-12:30p
165,3,Flexible,NA,NA
153,3,NA,NA,NA
48,3,Workshop,Fundamentals of R,9:30a-12:30p
48,3,Flexible,NA,NA
35,3,Workshop,Fundamentals of R,9:30a-12:30p
28,3,Workshop,Fundamentals of R,9:30a-12:30p
28,3,Flexible,NA,NA
160,3,NA,NA,NA
122,3,Flexible,NA,NA
152,3,Workshop,Fundamentals of R,9:30a-12:30p
54,3,Workshop,Fundamentals of R,9:30a-12:30p
54,3,Flexible,NA,NA
163,3,NA,NA,NA
43,3,Flexible,NA,NA
116,3,Flexible,NA,NA
7,3,Flexible,NA,NA
27,3,Workshop,Fundamentals of R,9:30a-12:30p
34,3,Flexible,NA,NA
26,3,Flexible,NA,NA
60,3,Flexible,NA,NA
17,3,NA,NA,NA
101,3,NA,NA,NA
125,3,Flexible,NA,NA
52,3,Flexible,NA,NA
89,3,Workshop,Fundamentals of R,9:30a-12:30p
50,3,NA,NA,NA
31,3,Workshop,Fundamentals of R,9:30a-12:30p
31,3,Flexible,NA,NA
32,3,Workshop,Fundamentals of R,9:30a-12:30p
32,3,Flexible,NA,NA
93,3,Flexible,NA,NA
121,3,NA,NA,NA
141,3,Workshop,Fundamentals of R,9:30a-12:30p
156,3,Workshop,Fundamentals of R,9:30a-12:30p
14,3,Workshop,Fundamentals of R,9:30a-12:30p
14,3,Flexible,NA,NA
36,3,Workshop,Fundamentals of R,9:30a-12:30p
143,3,Workshop,Fundamentals of R,9:30a-12:30p
20,3,Workshop,Fundamentals of R,9:30a-12:30p
23,3,NA,NA,NA
111,3,Flexible,NA,NA
164,3,Workshop,Fundamentals of R,9:30a-12:30p
19,3,Flexible,NA,NA
154,3,Flexible,NA,NA
86,3,Workshop,Fundamentals of R,9:30a-12:30p
70,3,Flexible,NA,NA
158,3,Workshop,Fundamentals of R,9:30a-12:30p
158,3,Flexible,NA,NA
58,3,Workshop,Fundamentals of R,9:30a-12:30p
58,3,Flexible,NA,NA
65,3,Flexible,NA,NA
118,3,Workshop,Fundamentals of R,9:30a-12:30p
42,3,Flexible,NA,NA
69,3,NA,NA,NA
39,3,NA,NA,NA
21,3,Workshop,Fundamentals of R,9:30a-12:30p
145,3,Flexible,NA,NA
166,3,Flexible,NA,NA
47,3,Workshop,Fundamentals of R,9:30a-12:30p
96,3,Flexible,NA,NA
139,3,Workshop,Fundamentals of R,9:30a-12:30p
139,3,Flexible,NA,NA
129,3,Flexible,NA,NA
64,3,Flexible,NA,NA
74,3,Workshop,Fundamentals of R,9:30a-12:30p
74,3,Flexible,NA,NA
67,3,NA,NA,NA
57,3,Flexible,NA,NA
8,3,Flexible,NA,NA
104,3,Flexible,NA,NA
149,3,Workshop,Fundamentals of R,9:30a-12:30p
38,3,Workshop,Fundamentals of R,9:30a-12:30p
49,3,NA,NA,NA
18,3,Flexible,NA,NA
157,3,NA,NA,NA
105,3,Flexible,NA,NA
76,3,Flexible,NA,NA
5,3,NA,NA,NA
99,3,Workshop,Fundamentals of R,9:30a-12:30p
84,3,Flexible,NA,NA
81,3,NA,NA,NA
134,3,NA,NA,NA
126,3,Workshop,Fundamentals of R,9:30a-12:30p
12,3,Flexible,NA,NA
92,3,Workshop,Fundamentals of R,9:30a-12:30p
92,3,Flexible,NA,NA
162,3,Flexible,NA,NA
94,3,Workshop,Fundamentals of R,9:30a-12:30p
4,3,Workshop,Fundamentals of R,9:30a-12:30p
46,3,Flexible,NA,NA
85,3,Flexible,NA,NA
22,3,Flexible,NA,NA
9,3,Workshop,Fundamentals of R,9:30a-12:30p
108,3,Flexible,NA,NA
87,3,Workshop,Fundamentals of R,9:30a-12:30p
87,3,Flexible,NA,NA
40,3,Flexible,NA,NA
142,3,NA,NA,NA
79,3,Workshop,Fundamentals of R,9:30a-12:30p
29,3,Workshop,Fundamentals of R,9:30a-12:30p
144,3,NA,NA,NA
113,3,Workshop,Fundamentals of R,9:30a-12:30p
113,3,Flexible,NA,NA
138,3,Workshop,Fundamentals of R,9:30a-12:30p
138,3,Flexible,NA,NA
115,3,Flexible,NA,NA
123,3,Flexible,NA,NA
73,3,Workshop,Fundamentals of R,9:30a-12:30p
133,3,Workshop,Fundamentals of R,9:30a-12:30p
133,3,Flexible,NA,NA
30,3,Workshop,Fundamentals of R,9:30a-12:30p
10,3,Workshop,Fundamentals of R,9:30a-12:30p
24,3,NA,NA,NA
13,3,NA,NA,NA
159,3,Flexible,NA,NA
117,3,Workshop,Fundamentals of R,9:30a-12:30p
131,3,NA,NA,NA
59,3,Workshop,Fundamentals of R,9:30a-12:30p
77,3,NA,NA,NA
53,3,Workshop,Fundamentals of R,9:30a-12:30p
147,3,Flexible,NA,NA
63,3,Flexible,NA,NA
75,3,NA,NA,NA
72,3,Workshop,Fundamentals of R,9:30a-12:30p
56,3,Workshop,Fundamentals of R,9:30a-12:30p
56,3,Flexible,NA,NA
80,3,Workshop,Fundamentals of R,9:30a-12:30p
80,3,Flexible,NA,NA
107,3,NA,NA,NA
97,3,Flexible,NA,NA
37,3,Workshop,Fundamentals of R,9:30a-12:30p
146,3,Flexible,NA,NA
2,3,Workshop,Fundamentals of R,9:30a-12:30p
45,3,Workshop,Fundamentals of R,9:30a-12:30p
100,3,Flexible,NA,NA
112,3,Flexible,NA,NA
109,3,Workshop,Fundamentals of R,9:30a-12:30p
78,3,NA,NA,NA
136,3,Workshop,Fundamentals of R,9:30a-12:30p
25,3,NA,NA,NA
98,3,NA,NA,NA
71,3,NA,NA,NA
51,3,NA,NA,NA
95,3,Workshop,Fundamentals of R,9:30a-12:30p
16,3,Flexible,NA,NA
137,3,Flexible,NA,NA
127,3,Flexible,NA,NA
114,3,Flexible,NA,NA
155,3,Workshop,Fundamentals of R,9:30a-12:30p
130,3,Workshop,Fundamentals of R,9:30a-12:30p
68,3,Workshop,Fundamentals of R,9:30a-12:30p
66,3,Flexible,NA,NA
1,3,NA,NA,NA
11,3,Workshop,Fundamentals of R,9:30a-12:30p
3,3,Flexible,NA,NA
150,3,Workshop,Fundamentals of R,9:30a-12:30p
124,3,Flexible,NA,NA
61,3,Flexible,NA,NA
151,3,Workshop,Fundamentals of R,9:30a-12:30p
151,3,Flexible,NA,NA
88,3,Flexible,NA,NA
103,3,Workshop,Fundamentals of R,9:30a-12:30p
82,3,Workshop,Fundamentals of R,9:30a-12:30p
119,3,Flexible,NA,NA
6,3,Workshop,Fundamentals of R,9:30a-12:30p
148,3,Flexible,NA,NA
120,3,Workshop,Fundamentals of R,9:30a-12:30p
120,3,Flexible,NA,NA
106,3,NA,NA,NA
15,3,NA,NA,NA
41,3,Flexible,NA,NA
140,3,Workshop,Fundamentals of R,9:30a-12:30p
161,3,Flexible,NA,NA
44,3,Flexible,NA,NA
128,3,Flexible,NA,NA
33,3,Flexible,NA,NA
83,3,Flexible,NA,NA
62,3,Flexible,NA,NA
102,3,Flexible,NA,NA
55,3,Flexible,NA,NA
132,3,NA,NA,NA
91,3,NA,NA,NA
135,3,Workshop,Fundamentals of R,9:30a-12:30p
90,NA,NA,NA,NA
110,NA,NA,NA,NA
165,NA,NA,NA,NA
153,NA,NA,NA,NA
48,NA,NA,NA,NA
35,NA,NA,NA,NA
28,NA,NA,NA,NA
160,NA,NA,NA,NA
122,NA,NA,NA,NA
152,NA,NA,NA,NA
54,NA,NA,NA,NA
163,NA,NA,NA,NA
43,NA,NA,NA,NA
116,NA,NA,NA,NA
7,NA,NA,NA,NA
27,NA,NA,NA,NA
34,NA,NA,NA,NA
26,NA,NA,NA,NA
60,NA,NA,NA,NA
17,NA,NA,NA,NA
101,NA,NA,NA,NA
125,NA,NA,NA,NA
52,NA,NA,NA,NA
89,NA,NA,NA,NA
50,NA,NA,NA,NA
31,NA,NA,NA,NA
32,NA,NA,NA,NA
93,NA,NA,NA,NA
121,NA,NA,NA,NA
141,NA,NA,NA,NA
156,NA,NA,NA,NA
14,NA,NA,NA,NA
36,NA,NA,NA,NA
143,NA,NA,NA,NA
20,NA,NA,NA,NA
23,NA,NA,NA,NA
111,NA,NA,NA,NA
164,NA,NA,NA,NA
19,NA,NA,NA,NA
154,NA,NA,NA,NA
86,NA,NA,NA,NA
70,NA,NA,NA,NA
158,NA,NA,NA,NA
58,NA,NA,NA,NA
65,NA,NA,NA,NA
118,NA,NA,NA,NA
42,NA,NA,NA,NA
69,NA,NA,NA,NA
39,NA,NA,NA,NA
21,NA,NA,NA,NA
145,NA,NA,NA,NA
166,NA,NA,NA,NA
47,NA,NA,NA,NA
96,NA,NA,NA,NA
139,NA,NA,NA,NA
129,NA,NA,NA,NA
64,NA,NA,NA,NA
74,NA,NA,NA,NA
67,NA,NA,NA,NA
57,NA,NA,NA,NA
8,NA,NA,NA,NA
104,NA,NA,NA,NA
149,NA,NA,NA,NA
38,NA,NA,NA,NA
49,NA,NA,NA,NA
18,NA,NA,NA,NA
157,NA,NA,NA,NA
105,NA,NA,NA,NA
76,NA,NA,NA,NA
5,NA,NA,NA,NA
99,NA,NA,NA,NA
84,NA,NA,NA,NA
81,NA,NA,NA,NA
134,NA,NA,NA,NA
126,NA,NA,NA,NA
12,NA,NA,NA,NA
92,NA,NA,NA,NA
162,NA,NA,NA,NA
94,NA,NA,NA,NA
4,NA,NA,NA,NA
46,NA,NA,NA,NA
85,NA,NA,NA,NA
22,NA,NA,NA,NA
9,NA,NA,NA,NA
108,NA,NA,NA,NA
87,NA,NA,NA,NA
40,NA,NA,NA,NA
142,NA,NA,NA,NA
79,NA,NA,NA,NA
29,NA,NA,NA,NA
144,NA,NA,NA,NA
113,NA,NA,NA,NA
138,NA,NA,NA,NA
115,NA,NA,NA,NA
123,NA,NA,NA,NA
73,NA,NA,NA,NA
133,NA,NA,NA,NA
30,NA,NA,NA,NA
10,NA,NA,NA,NA
24,NA,NA,NA,NA
13,NA,NA,NA,NA
159,NA,NA,NA,NA
117,NA,NA,NA,NA
131,NA,NA,NA,NA
59,NA,NA,NA,NA
77,NA,NA,NA,NA
53,NA,NA,NA,NA
147,NA,NA,NA,NA
63,NA,NA,NA,NA
75,NA,NA,NA,NA
72,NA,NA,NA,NA
56,NA,NA,NA,NA
80,NA,NA,NA,NA
107,NA,NA,NA,NA
97,NA,NA,NA,NA
37,NA,NA,NA,NA
146,NA,NA,NA,NA
2,NA,NA,NA,NA
45,NA,NA,NA,NA
100,NA,NA,NA,NA
112,NA,NA,NA,NA
109,NA,NA,NA,NA
78,NA,NA,NA,NA
136,NA,NA,NA,NA
25,NA,NA,NA,NA
98,NA,NA,NA,NA
71,NA,NA,NA,NA
51,NA,NA,NA,NA
95,NA,NA,NA,NA
16,NA,NA,NA,NA
137,NA,NA,NA,NA
127,NA,NA,NA,NA
114,NA,NA,NA,NA
155,NA,NA,NA,NA
130,NA,NA,NA,NA
68,NA,NA,NA,NA
66,NA,NA,NA,NA
1,NA,NA,NA,NA
11,NA,NA,NA,NA
3,NA,NA,NA,NA
150,NA,NA,NA,NA
124,NA,NA,NA,NA
61,NA,NA,NA,NA
151,NA,NA,NA,NA
88,NA,NA,NA,NA
103,NA,NA,NA,NA
82,NA,NA,NA,NA
119,NA,NA,NA,NA
6,NA,NA,NA,NA
148,NA,NA,NA,NA
120,NA,NA,NA,NA
106,NA,NA,NA,NA
15,NA,NA,NA,NA
41,NA,NA,NA,NA
140,NA,NA,NA,NA
161,NA,NA,NA,NA
44,NA,NA,NA,NA
128,NA,NA,NA,NA
33,NA,NA,NA,NA
83,NA,NA,NA,NA
62,NA,NA,NA,NA
102,NA,NA,NA,NA
55,NA,NA,NA,NA
132,NA,NA,NA,NA
91,NA,NA,NA,NA
135,NA,NA,NA,NA
